kernel,shape,dtype,median_ms,p10_ms,p90_ms,tokens_per_sec,in_gbps,state_out_gb
linear_attn,"{'B': 1, 'H': 4, 'T': 512, 'D_K': 32, 'D_V': 32, 'BLK_T': 64}",torch.bfloat16,0.01772800087928772,0.014431999996304512,0.02332800067961216,115523459.97414486,22.18050431503581,0.000131072
heisenberg_d,"{'B': 1, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.4031040072441101,0.4030719995498657,0.40403199195861816,5080574.648715364,0.6503135550355665,0.008650752
unipotent_u4,"{'B': 1, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.09385599941015244,0.09385599941015244,0.09484799951314926,21820661.575934026,8.379134045158665,0.001572864
linear_attn,"{'B': 4, 'H': 4, 'T': 512, 'D_K': 32, 'D_V': 32, 'BLK_T': 64}",torch.bfloat16,0.016704000532627106,0.015647999942302704,0.018751999363303185,490421440.30102056,94.16091653779596,0.000524288
heisenberg_d,"{'B': 4, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.4031040072441101,0.4030719995498657,0.4031040072441101,20322298.594861455,2.601254220142266,0.034603008
unipotent_u4,"{'B': 4, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.09590400010347366,0.09487999975681305,0.09593600034713745,85418751.99325794,32.80080076541105,0.006291456
linear_attn,"{'B': 1, 'H': 8, 'T': 1024, 'D_K': 64, 'D_V': 64, 'BLK_T': 64}",torch.bfloat16,0.03855999931693077,0.03791999816894531,0.03855999931693077,212448136.54348508,81.58008443269826,0.001048576
heisenberg_d,"{'B': 1, 'H': 8, 'T': 1024, 'D': 64, 'BLK_T': 64}",torch.bfloat16,1.458847999572754,1.4567999839782715,1.4608960151672363,5615389.678978998,1.4375397578186235,0.13631488
unipotent_u4,"{'B': 1, 'H': 8, 'T': 1024, 'D': 64, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.19011199474334717,0.19011199474334717,0.19100800156593323,43090390.01489238,33.09341953143735,0.012582912
linear_attn,"{'B': 4, 'H': 8, 'T': 2048, 'D_K': 64, 'D_V': 64, 'BLK_T': 64}",torch.bfloat16,0.07337599992752075,0.07337599992752075,0.07475200295448303,893153075.4570304,342.9707809754996,0.008388608
heisenberg_d,"{'B': 4, 'H': 8, 'T': 2048, 'D': 64, 'BLK_T': 64}",torch.bfloat16,2.942336082458496,2.9416000843048096,2.942624092102051,22273458.2873486,5.702005321561241,1.09051904
unipotent_u4,"{'B': 4, 'H': 8, 'T': 2048, 'D': 64, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.8239679932594299,0.8219199776649475,0.8270400166511536,79537070.05141605,61.084469799487536,0.100663296
linear_attn,"{'B': 1, 'H': 16, 'T': 4096, 'D_K': 64, 'D_V': 64, 'BLK_T': 64}",torch.bfloat16,0.14505599439144135,0.14502400159835815,0.1456959992647171,451797943.7867808,173.4904104141238,0.008388608
heisenberg_d,"{'B': 1, 'H': 16, 'T': 4096, 'D': 64, 'BLK_T': 64}",torch.bfloat16,5.8712639808654785,5.870240211486816,5.873311996459961,11162162.05123507,2.857513485116178,1.09051904
unipotent_u4,"{'B': 1, 'H': 16, 'T': 4096, 'D': 64, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,1.6308799982070923,1.6267839670181274,1.634943962097168,40184440.34634491,30.861650185992893,0.100663296
linear_attn,"{'B': 1, 'H': 16, 'T': 4096, 'D_K': 32, 'D_V': 32, 'BLK_T': 64}",torch.bfloat16,0.07747200131416321,0.07542400062084198,0.07747200131416321,845931418.9424314,162.41883243694684,0.004194304
heisenberg_d,"{'B': 1, 'H': 16, 'T': 4096, 'D': 32, 'BLK_T': 64}",torch.bfloat16,3.212928056716919,3.2119040489196777,3.212991952896118,20397593.361292675,2.6108919502454624,0.276824064
unipotent_u4,"{'B': 1, 'H': 16, 'T': 4096, 'D': 32, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.7451199889183044,0.7440959811210632,0.7461439967155457,87953619.51722573,33.77418989461468,0.050331648
